Train_Name,Station,count
7-7 Express,"[{'station_name': '34th St - Hudson Yards'}, {'station_name': '5th Ave - Bryant Pk'}, {'station_name': 'Grand Central - 42nd St'}, {'station_name': 'Times Sq - 42nd St'}, {'station_name': 'Vernon Blvd - Jackson Ave'}, {'station_name': 'Hunters Point Ave'}, {'station_name': 'Court Sq'}, {'station_name': 'Woodside - 61st St'}, {'station_name': 'Flushing - Main St'}, {'station_name': 'Junction Blvd'}, {'station_name': 'Mets - Willets Point'}]",11
6-6 Express,"[{'station_name': 'Parkchester'}, {'station_name': 'Westchester Sq - E Tremont Ave'}, {'station_name': 'Pelham Bay Park'}, {'station_name': 'Middletown Rd'}, {'station_name': 'Hunts Point Ave'}, {'station_name': 'Zerega Ave'}, {'station_name': 'Castle Hill Ave'}, {'station_name': '3rd Ave - 138th St'}, {'station_name': 'Buhre Ave'}]",9
4-5-6-6 Express,"[{'station_name': '125th St'}, {'station_name': '86th St'}, {'station_name': 'Union Sq - 14th St'}, {'station_name': 'Lexington Ave - 59th St'}, {'station_name': 'Grand Central - 42nd St'}, {'station_name': 'Brooklyn Bridge - City Hall'}]",6
D-N-R,"[{'station_name': '25th St'}, {'station_name': '36th St'}, {'station_name': '4th Av - 9th St'}, {'station_name': 'Prospect Ave'}, {'station_name': 'Union St'}]",5
2-3-4-5,"[{'station_name': 'Nevins St'}, {'station_name': ""Atlantic Av - Barclay's Center""}, {'station_name': 'Franklin Ave'}]",3
4,"[{'station_name': 'Woodlawn'}, {'station_name': 'Fordham Rd'}, {'station_name': '183rd St'}, {'station_name': '167th St'}, {'station_name': 'Mosholu Pkwy'}, {'station_name': '170th St'}, {'station_name': 'Mt Eden Ave'}, {'station_name': 'Bedford Park Blvd - Lehman College'}, {'station_name': 'Kingsbridge Rd'}, {'station_name': 'Burnside Ave'}, {'station_name': '176th St'}, {'station_name': '161st St - Yankee Stadium'}, {'station_name': '149th St - Grand Concourse'}]",13
6,"[{'station_name': 'Brook Ave'}, {'station_name': ""E 143rd St - St Mary's St""}, {'station_name': 'Cypress Ave'}, {'station_name': 'Longwood Ave'}, {'station_name': 'Elder Ave'}, {'station_name': 'St Lawrence Ave'}, {'station_name': 'Whitlock Ave'}, {'station_name': 'Morrison Av - Soundview'}, {'station_name': 'E 149th St'}]",9
A,"[{'station_name': 'Dyckman St'}, {'station_name': '190th St'}, {'station_name': '181st St'}, {'station_name': 'Inwood - 207th St'}, {'station_name': 'Aqueduct - North Conduit Av'}, {'station_name': 'Howard Beach - JFK Airport'}, {'station_name': 'Beach 67th St'}, {'station_name': 'Beach 25th St'}, {'station_name': 'Beach 36th St'}, {'station_name': 'Beach 60th St'}, {'station_name': 'Beach 44th St'}, {'station_name': '175th St'}, {'station_name': 'Aqueduct Racetrack'}, {'station_name': 'Far Rockaway - Mott Ave'}]",14
B-D-F-M,"[{'station_name': 'Broadway - Lafayette St'}, {'station_name': 'Herald Sq - 34th St'}, {'station_name': '47th-50th Sts - Rockefeller Ctr'}, {'station_name': 'W 4th St - Washington Sq (Lower)'}, {'station_name': '42nd St - Bryant Pk'}]",5
B-Q-S,[{'station_name': 'Prospect Park'}],1
